Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
38694,4444,6,269709,4,5,48.0,23.0,30,0,12.0,14.69693846,23,0,4.6,10.2859127,263.2466844,33.36929802,33713.625,90272.54988,257068.0,14.0,260808.0,86936.0,149854.7657,259973.0,104.0,269709.0,67427.25,126912.7408,257785.0,2956.0,0,0,128,176,14.83079912,18.538498899999997,0,30,7.1,11.77992643,138.7666667,0,1,0,0,0,0,1,7.888888889,12.0,4.6,4,48,5,23,0,64,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
38693,4444,6,268599,2,3,0.0,23.0,0,0,0.0,0.0,23,0,7.666666667,13.27905619,85.62950718,18.61511026,67149.75,132430.5536,265786.0,11.0,265811.0,265811.0,0.0,265811.0,265811.0,268574.0,134287.0,185983.2256,265797.0,2777.0,0,0,64,112,7.446044102999999,11.16906615,0,23,3.833333333,9.389710681,88.16666667,0,1,0,0,0,0,1,4.6,0.0,7.666666667,2,0,3,23,0,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
33747,3632,6,22194,5,5,53.0,30.0,30,0,10.6,14.72412986,30,0,6.0,13.41640786,3739.749482,450.5722267,2466.0,2951.053583,8063.0,3.0,17518.0,4379.5,6184.320254,13537.0,3.0,15128.0,3782.0,3420.9258979999995,8063.0,42.0,0,0,160,176,225.2861134,225.2861134,0,30,7.545454545,13.04885923,170.2727273,0,1,0,0,0,0,1,8.3,10.6,6.0,5,53,5,30,0,215,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
38745,8180,6,9556,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,6278.777731,837.1703642000001,1365.142857,1447.714225,4022.0,13.0,5511.0,1837.0,1441.824885,3380.0,524.0,5588.0,1862.666667,2386.259067,4559.0,23.0,0,0,128,144,418.58518210000005,418.58518210000005,0,30,6.666666667,13.22875656,175.0,0,1,0,0,0,0,1,7.5,7.5,7.5,4,30,4,30,0,215,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
37217,8180,6,8782,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,6832.1566840000005,910.9542246,1254.571429,1607.096435,4049.0,8.0,4725.0,1575.0,2277.04216,4204.0,226.0,5618.0,1872.666667,2191.8166739999997,4287.0,8.0,0,0,128,144,455.4771123,455.4771123,0,30,6.666666667,13.22875656,175.0,0,1,0,0,0,0,1,7.5,7.5,7.5,4,30,4,30,0,215,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
35921,8180,6,4047,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,988.3864591,1349.0,1835.406222,3443.0,19.0,585.0,585.0,0.0,585.0,585.0,19.0,19.0,0.0,19.0,19.0,0,0,64,80,494.1932296,494.1932296,0,0,0.0,0.0,0.0,0,1,0,0,0,0,1,0.0,0.0,0.0,2,0,2,0,0,5792,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
34573,8180,6,9383,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,6394.543323,852.6057764000001,1340.428571,1883.208862,4141.0,1.0,5234.0,1744.6666670000002,2875.003014,5063.0,1.0,5458.0,1819.333333,2235.697952,4318.0,8.0,0,0,128,144,426.3028882,426.3028882,0,30,6.666666667,13.22875656,175.0,0,1,0,0,0,0,1,7.5,7.5,7.5,4,30,4,30,0,215,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
40447,8180,6,9436,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,6358.626537,847.8168716,1348.0,1623.399725,3706.0,12.0,5717.0,1905.666667,2764.904037,5094.0,168.0,5532.0,1844.0,1945.102311,3886.0,13.0,0,0,128,144,423.9084358,423.9084358,0,30,6.666666667,13.22875656,175.0,0,1,0,0,0,0,1,7.5,7.5,7.5,4,30,4,30,0,215,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
43053,8180,6,3819,2,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1047.394606,1273.0,1859.562314,3409.0,15.0,395.0,395.0,0.0,395.0,395.0,15.0,15.0,0.0,15.0,15.0,0,0,64,80,523.697303,523.697303,0,0,0.0,0.0,0.0,0,1,0,0,0,0,1,0.0,0.0,0.0,2,0,2,0,0,5792,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
46611,8180,6,8019,4,4,30.0,30.0,30,0,7.5,15.0,30,0,7.5,15.0,7482.229704,997.6306273,1145.571429,1398.499059,3674.0,7.0,4336.0,1445.333333,1750.80591,3434.0,136.0,4852.0,1617.333333,1971.667399,3817.0,9.0,0,0,128,144,498.8153136,498.8153136,0,30,6.666666667,13.22875656,175.0,0,1,0,0,0,0,1,7.5,7.5,7.5,4,30,4,30,0,215,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
